Scouter Name,Match Number,Robot Position,Team Number,Starting Position,Is HP True to your team?,Shoot Time (Auto),HP Scored (Auto),Climb Position (Auto),Stuck in Tower If Climbed? (Auto),Auton Quality,Shoot Time (Teleop),Pass Time,HP Scored (Teleop),Penalty Counter,Climb,Jammed over balls?,Died,Driver Quality,Do you want it on our alliance?
Valeria,36,Red 3,10225,Middle,True,3.74,10,Side,False,Bad,35.69,32.28,13,0,L2,True,False,Average,False
Diego,37,Blue 1,10529,Depot Side,True,6.5,8,Middle,False,Good,35.58,24.91,16,2,L2,False,False,Good,True
Fernanda,37,Blue 2,10565,Middle,True,2.85,8,Middle,False,Excellent,17.99,19.9,12,1,L2,False,False,Bad,False
Miguel,37,Blue 3,10931,Depot Side,True,7.3,4,Middle,False,Bad,51.96,16.52,5,2,L3,False,False,Good,True
Isabela,37,Red 1,11065,Middle,True,5.14,8,Middle,False,Bad,39.34,16.15,29,2,L3,False,False,Bad,False
Rodrigo,37,Red 2,3354,Outpost Side,False,8.77,7,Middle,False,Excellent,47.4,11.44,13,0,L1,False,False,Good,True
Camila,37,Red 3,3472,Depot Side,True,0.83,9,N/A,False,Bad,34.68,9.84,10,1,Didn't Climb,False,False,Average,False
Marco,38,Blue 1,3478,Outpost Side,True,7.79,6,Side,False,Bad,53.92,22.24,16,2,L2,False,False,Good,True
Sofia,38,Blue 2,3480,Outpost Side,True,3.23,15,Middle,False,Good,55.42,17.53,30,2,L3,False,False,Average,False
Carlos,38,Blue 3,3522,Middle,True,7.29,11,N/A,False,Bad,53.05,28.04,18,1,Didn't Climb,False,False,Average,False
Ana,38,Red 1,3794,Outpost Side,True,4.05,6,N/A,False,Good,34.04,27.19,23,2,Didn't Climb,False,True,Average,False
Luis,38,Red 2,3933,Middle,False,3.11,5,Middle,False,Good,31.54,16.71,9,2,L1,False,False,Average,False
Valeria,38,Red 3,4010,Middle,True,3.28,7,Side,False,Good,18.88,29.41,12,2,L3,False,False,Average,False
Diego,39,Blue 1,4371,Depot Side,False,0.12,9,Side,False,Bad,10.74,6.46,11,1,L1,False,False,Excellent,True
Fernanda,39,Blue 2,4584,Middle,False,3.98,6,Side,False,Good,58.98,20.29,14,0,L3,False,False,Bad,False
Miguel,39,Blue 3,4635,Depot Side,True,2.99,3,Side,True,Average,47.71,7.55,7,0,L2,False,False,Good,True
Isabela,39,Red 1,4723,Depot Side,True,4.21,7,Middle,False,Bad,39.27,22.85,20,0,L3,False,False,Average,False
Rodrigo,39,Red 2,4775,Depot Side,True,3.76,9,Side,False,Average,25.58,10.3,25,1,L2,False,False,Average,False
Camila,39,Red 3,4782,Depot Side,False,7.41,6,Middle,False,Good,11.59,6.34,24,1,L2,False,False,Good,True
Marco,40,Blue 1,5133,Outpost Side,True,4.04,5,Middle,False,Good,30.06,21.38,15,2,L1,False,False,Good,True
Sofia,40,Blue 2,5887,Outpost Side,False,1.14,10,Side,False,Average,20.0,17.17,29,0,L2,False,True,Average,False
Carlos,40,Blue 3,5932,Outpost Side,True,0.85,11,Side,False,Average,51.23,13.2,32,0,L2,False,False,Good,True
Ana,40,Red 1,5959,Depot Side,True,6.18,3,Middle,False,Average,23.67,29.07,19,2,L3,False,False,Average,False
Luis,40,Red 2,6017,Outpost Side,True,8.27,2,Side,False,Average,51.31,16.78,12,2,L1,False,False,Excellent,True
Valeria,40,Red 3,6106,Depot Side,True,2.75,12,Side,False,Average,41.99,34.28,22,2,L1,False,False,Excellent,True
Diego,41,Blue 1,6170,Outpost Side,True,2.03,6,Side,False,Excellent,14.24,30.29,12,2,L3,False,False,Good,True
Fernanda,41,Blue 2,6200,Depot Side,True,1.18,7,Middle,False,Bad,45.49,26.09,12,1,L3,False,False,Good,True
Miguel,41,Blue 3,6348,Middle,True,7.04,4,Middle,False,Good,31.55,10.07,13,2,L2,False,False,Good,True
Isabela,41,Red 1,6606,Middle,True,0.93,14,Side,False,Good,39.46,25.85,13,1,L2,False,False,Excellent,True
Rodrigo,41,Red 2,6652,Depot Side,True,8.38,12,N/A,False,Good,20.54,20.02,16,0,Didn't Climb,False,False,Average,False
Camila,41,Red 3,6676,Depot Side,True,7.34,6,N/A,False,Average,11.76,33.8,6,2,Didn't Climb,False,False,Good,True
Marco,42,Blue 1,6702,Depot Side,True,8.81,3,Side,False,Excellent,29.46,5.09,8,1,L2,False,False,Bad,False
Sofia,42,Blue 2,6832,Middle,True,9.65,11,Side,False,Good,18.46,13.19,32,0,L1,False,False,Average,False
Carlos,42,Blue 3,7102,Middle,False,7.39,8,Side,False,Good,19.68,33.32,29,0,L2,False,True,Excellent,True
Ana,42,Red 1,7421,Depot Side,True,2.86,9,Side,False,Excellent,43.22,18.72,22,2,L2,False,False,Good,True
Luis,42,Red 2,7546,Outpost Side,True,5.43,1,Side,False,Average,29.65,13.16,15,2,L3,False,False,Excellent,True
Valeria,42,Red 3,8740,Depot Side,True,3.12,8,Middle,True,Good,58.68,31.86,25,0,L1,False,False,Good,True
Diego,43,Blue 1,8741,Outpost Side,False,4.8,11,N/A,False,Good,43.18,6.15,11,1,Didn't Climb,False,False,Good,True
Fernanda,43,Blue 2,9053,Outpost Side,True,7.06,7,Side,False,Good,21.61,12.21,8,1,L1,False,False,Average,False
Miguel,43,Blue 3,9060,Depot Side,True,0.86,1,N/A,False,Good,23.15,8.02,5,0,Didn't Climb,False,False,Average,False
Isabela,43,Red 1,9213,Outpost Side,True,5.39,14,Side,False,Good,36.09,18.37,15,0,L2,False,False,Good,True
Rodrigo,43,Red 2,9280,Middle,False,0.05,8,Middle,False,Excellent,10.65,29.7,24,1,L3,False,False,Average,False
Camila,43,Red 3,9282,Middle,True,8.47,8,N/A,False,Average,14.25,32.8,17,1,Didn't Climb,False,False,Good,True
