Scouter Name,Match Number,Robot Position,Team Number,Starting Position,Shoot Time (Auto),Shoot amount (Auto),Pass amount (Auto),Climb Position (Auto),"If climbed, Got stuck in Tower? (Auto)",Auton Complexity,Auton Completed?,How much missed shots? (Auto),Shoot Time (Teleop),Pass Time (Teleop),Shoot amount (Teleop),Pass amount (Teleop),Penalty Counter,How much missed shots? (Teleop),Quality Chasis/Driver Movement,Climb,Jammed over balls?,Bulldozing?,Defended?,Chasis Type,Died,"Comments? (Keep it short, only relevant info)"
AutoScout 2,95,Red 2,6702,Depot Side,,Some (15-30),Too little (Less than 15),Side,False,Good,True,25%,,,Too many (90-130),Too many (90-130),1,0%(ask before),BestOfEvent,Failed Climb Attempt,False,Mid,Good,Swerve,False,"PrepaTec - StingBots: offense 4/5, defense 4/5"
AutoScout 2,96,Red 3,6702,Outpost Side,,Some (15-30),Some (15-30),Side,False,Good,True,10%,,,Capitan (More than 130),Some (35-60),3,25%,BestOfEvent,Failed Climb Attempt,False,Mid,Good,Swerve,False,"PrepaTec - StingBots: offense 4/5, defense 4/5"
AutoScout 3,97,Blue 1,6832,Depot Side,,Too little (Less than 15),Some (15-30),Middle,False,Moves Balls in Middle,False,0%(ask before),,,Some (35-60),Some (35-60),5,10%,Mid,Failed Climb Attempt,False,BestOfEvent,Good,Swerve,False,"STEAMex: offense 3/5, defense 5/5"
AutoScout 3,98,Blue 2,6832,Outpost Side,,Many (30-60),None,Middle,False,Only Shot,True,10%,,,Many (60-90),Many (60-90),3,0%(ask before),Mid,L3,False,BestOfEvent,Good,Swerve,False,"STEAMex: offense 3/5, defense 5/5"
AutoScout 3,99,Blue 3,6832,Middle,,Many (30-60),Some (15-30),Side,False,Only Shot,True,0%(ask before),,,Many (60-90),Many (60-90),4,25%,BestOfEvent,L3,False,Good,BestOfEvent,Swerve,False,"STEAMex: offense 3/5, defense 5/5"
AutoScout 4,100,Red 1,7102,Outpost Side,,Some (15-30),None,Side,False,Good,True,50%,,,Many (60-90),Some (35-60),4,25%,Bad,Failed Climb Attempt,False,Bad,Mid,Mecanum,True,"PrepaTec - Daedalus: offense 4/5, defense 3/5"
AutoScout 4,101,Red 2,7102,Middle,,Many (30-60),None,Middle,True,Moves Balls in Middle,True,10%,,,Many (60-90),Many (60-90),5,50%,Bad,Failed Climb Attempt,False,Bad,Good,Mecanum,False,"PrepaTec - Daedalus: offense 4/5, defense 3/5"
AutoScout 4,102,Red 3,7102,Depot Side,,Too little (Less than 15),None,Middle,False,Only Shot,False,50%,,,Many (60-90),Some (35-60),4,25%,Bad,Failed Climb Attempt,True,Mid,Good,Mecanum,False,"PrepaTec - Daedalus: offense 4/5, defense 3/5"
AutoScout 5,103,Blue 1,7421,Middle,,Some (15-30),Too little (Less than 15),Failed Climb Attempt,True,Only Shot,True,25%,,,Too little (Less than 35),None,2,25%,Mid,L3,False,BestOfEvent,BestOfEvent,Tank,False,"PrepaTec - OVERTURE: offense 2/5, defense 4/5"
AutoScout 5,104,Blue 2,7421,Depot Side,,None,None,Didn't Climb,True,Only Shot,False,25%,,,Some (35-60),Too little (Less than 35),6,10%,Good,Failed Climb Attempt,False,Mid,Mid,Tank,False,"PrepaTec - OVERTURE: offense 2/5, defense 4/5"
AutoScout 5,105,Blue 3,7421,Outpost Side,,Too little (Less than 15),None,Didn't Climb,True,Only Moved,False,25%,,,Too little (Less than 35),Too little (Less than 35),2,25%,Mid,L3,False,Mid,Good,Tank,False,"PrepaTec - OVERTURE: offense 2/5, defense 4/5"
AutoScout 6,106,Red 1,7546,Depot Side,,None,Too little (Less than 15),Failed Climb Attempt,False,Did Nothing,True,50%,,,Some (35-60),None,6,25%,Mid,L1,False,Bad,None,Tank,False,"Prepa Tec - MinerZ: offense 1/5, defense 2/5"
AutoScout 6,107,Red 2,7546,Outpost Side,,None,None,Didn't Climb,False,Did Nothing,True,50%,,,Some (35-60),None,6,25%,None,L2,False,Mid,Mid,Tank,False,"Prepa Tec - MinerZ: offense 1/5, defense 2/5"
AutoScout 6,108,Red 3,7546,Middle,,None,None,Failed Climb Attempt,False,Only Moved,False,75%,,,Some (35-60),None,3,25%,Bad,L2,False,None,Mid,Tank,False,"Prepa Tec - MinerZ: offense 1/5, defense 2/5"
AutoScout 1,109,Blue 1,8740,Outpost Side,,Too many (More than 60),Some (15-30),Middle,False,Good,True,0%(ask before),,,Too many (90-130),Too many (90-130),3,0%(ask before),Good,Failed Climb Attempt,False,None,Bad,Swerve,False,"Prepa Tecmilenio - Quantum Force: offense 5/5, defense 2/5"
AutoScout 1,110,Blue 2,8740,Middle,,Too many (More than 60),Some (15-30),Middle,False,Excellent,True,10%,,,Capitan (More than 130),Too many (90-130),1,0%(ask before),BestOfEvent,Failed Climb Attempt,True,None,Bad,Swerve,False,"Prepa Tecmilenio - Quantum Force: offense 5/5, defense 2/5"
AutoScout 1,111,Blue 3,8740,Depot Side,,Many (30-60),Too many (More than 60),Middle,False,Excellent,True,0%(ask before),,,Capitan (More than 130),Too many (90-130),3,10%,BestOfEvent,Failed Climb Attempt,False,None,None,Swerve,False,"Prepa Tecmilenio - Quantum Force: offense 5/5, defense 2/5"
AutoScout 2,112,Red 1,8741,Middle,,Some (15-30),Some (15-30),Side,False,Good,True,10%,,,Capitan (More than 130),Many (60-90),3,0%(ask before),Good,Failed Climb Attempt,False,Good,BestOfEvent,Swerve,False,"Prepa Tecmilenio - Raccoons: offense 4/5, defense 4/5"
AutoScout 2,113,Red 2,8741,Depot Side,,Too many (More than 60),Too little (Less than 15),Failed Climb Attempt,False,Good,True,10%,,,Too many (90-130),Many (60-90),4,10%,Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,True,"Prepa Tecmilenio - Raccoons: offense 4/5, defense 4/5"
AutoScout 2,114,Red 3,8741,Outpost Side,,Many (30-60),Too little (Less than 15),Side,False,Moves Balls in Middle,True,10%,,,Too many (90-130),Many (60-90),5,25%,BestOfEvent,L3,False,Mid,Good,Swerve,False,"Prepa Tecmilenio - Raccoons: offense 4/5, defense 4/5"
AutoScout 3,115,Blue 1,9053,Depot Side,,Many (30-60),Too little (Less than 15),Middle,False,Only Shot,True,10%,,,Many (60-90),Some (35-60),2,25%,BestOfEvent,L3,False,BestOfEvent,Good,Swerve,False,"Prepa Tecmilenio - Iron Hawks: offense 3/5, defense 5/5"
AutoScout 3,116,Blue 2,9053,Outpost Side,,Some (15-30),Some (15-30),Side,False,Only Shot,True,25%,,,Too many (90-130),Some (35-60),3,0%(ask before),Good,Failed Climb Attempt,False,BestOfEvent,BestOfEvent,Swerve,False,"Prepa Tecmilenio - Iron Hawks: offense 3/5, defense 5/5"
AutoScout 3,117,Blue 3,9053,Middle,,Too little (Less than 15),Too little (Less than 15),Middle,False,Only Shot,False,25%,,,Some (35-60),Many (60-90),1,0%(ask before),Good,Failed Climb Attempt,False,Good,BestOfEvent,Swerve,True,"Prepa Tecmilenio - Iron Hawks: offense 3/5, defense 5/5"
AutoScout 4,118,Red 1,9060,Outpost Side,,Some (15-30),None,Failed Climb Attempt,False,Only Shot,False,50%,,,Too many (90-130),Many (60-90),2,25%,Good,L2,False,Mid,Good,Mecanum,False,"Prepa Tecmilenio - Desert Robotics: offense 4/5, defense 3/5"
AutoScout 4,119,Red 2,9060,Middle,,Some (15-30),Too little (Less than 15),Failed Climb Attempt,False,Good,True,50%,,,Many (60-90),Many (60-90),4,25%,Bad,L3,True,Good,Bad,Mecanum,False,"Prepa Tecmilenio - Desert Robotics: offense 4/5, defense 3/5"
AutoScout 4,120,Red 3,9060,Depot Side,,Many (30-60),None,Middle,True,Moves Balls in Middle,True,50%,,,Too many (90-130),Many (60-90),5,10%,Mid,L2,False,Good,Good,Mecanum,False,"Prepa Tecmilenio - Desert Robotics: offense 4/5, defense 3/5"
AutoScout 5,121,Blue 1,9213,Middle,,Some (15-30),None,Didn't Climb,False,Moves Balls in Middle,True,10%,,,Some (35-60),None,5,50%,Bad,L3,False,Mid,Good,Tank,False,"Tecuani: offense 2/5, defense 4/5"
AutoScout 5,122,Blue 2,9213,Depot Side,,Too little (Less than 15),None,Didn't Climb,False,Only Shot,False,50%,,,Some (35-60),None,4,50%,Good,L2,False,BestOfEvent,Good,Tank,False,"Tecuani: offense 2/5, defense 4/5"
AutoScout 5,123,Blue 3,9213,Outpost Side,,Too little (Less than 15),Too little (Less than 15),Failed Climb Attempt,False,Only Shot,False,50%,,,Too little (Less than 35),None,2,10%,Bad,L2,False,BestOfEvent,Good,Tank,False,"Tecuani: offense 2/5, defense 4/5"
AutoScout 6,124,Red 1,9280,Depot Side,,None,None,Failed Climb Attempt,False,Only Moved,False,25%,,,Some (35-60),None,5,25%,Mid,L2,False,None,Mid,Tank,False,"PrepaTec - High Altitude Robotics: offense 1/5, defense 2/5"
AutoScout 6,125,Red 2,9280,Outpost Side,,None,Too little (Less than 15),Didn't Climb,False,Only Moved,True,75%,,,None,None,5,25%,Bad,L3,False,Bad,Mid,Tank,False,"PrepaTec - High Altitude Robotics: offense 1/5, defense 2/5"
AutoScout 6,126,Red 3,9280,Middle,,None,Too little (Less than 15),Didn't Climb,False,Only Shot,True,75%,,,None,None,5,25%,Bad,L3,False,None,Bad,Tank,False,"PrepaTec - High Altitude Robotics: offense 1/5, defense 2/5"
AutoScout 1,127,Blue 1,9282,Outpost Side,,Too many (More than 60),Too many (More than 60),Side,False,Excellent,False,0%(ask before),,,Too many (90-130),Too many (90-130),2,0%(ask before),Good,L3,False,Mid,None,Swerve,False,"PrepaTec- SINAVOLT: offense 5/5, defense 2/5"
AutoScout 1,128,Blue 2,9282,Middle,,Too many (More than 60),Too many (More than 60),Side,False,Excellent,True,10%,,,Capitan (More than 130),Support (More than 130),2,0%(ask before),Good,Failed Climb Attempt,False,None,Mid,Swerve,False,"PrepaTec- SINAVOLT: offense 5/5, defense 2/5"
AutoScout 1,129,Blue 3,9282,Depot Side,,Many (30-60),Many (30-60),Failed Climb Attempt,False,Good,True,0%(ask before),,,Too many (90-130),Too many (90-130),1,0%(ask before),Good,L3,False,Bad,None,Swerve,False,"PrepaTec- SINAVOLT: offense 5/5, defense 2/5"
